X,Y,Z
-5.082020,-2.934106,83.639856
-5.084446,-2.935506,83.379400
-4.675890,-2.699626,82.962814
-4.678370,-2.701058,82.703078
-4.680847,-2.702488,82.443406
-4.683321,-2.703917,82.183799
-4.685793,-2.705344,81.924259
-4.688261,-2.706769,81.664783
-4.690726,-2.708192,81.405372
-4.693189,-2.709614,81.146026
-4.695648,-2.711034,80.886746
-4.698106,-2.712453,80.627532
-4.700559,-2.713869,80.368382
-4.703010,-2.715284,80.109296
-4.705458,-2.716697,79.850274
-4.707904,-2.718109,79.591318
-4.710344,-2.719519,79.332428
-4.304454,-2.485178,78.926817
-4.306949,-2.486618,78.668636
-3.902979,-2.253386,78.265506
-4.311927,-2.489492,78.152467
-4.314412,-2.490927,77.894478
-4.316893,-2.492359,77.636555
-4.727353,-2.729339,77.522000
-4.729770,-2.730734,77.263625
-5.553210,-3.206147,77.291405
-5.144164,-2.969984,76.889230
-5.557796,-3.208795,76.772649
-5.973089,-3.448564,76.655563
-5.975314,-3.449849,76.395764
-5.977536,-3.451132,76.136027
-6.394378,-3.691796,76.017389
-5.981972,-3.453693,75.616747
-6.398687,-3.694284,75.497066
-6.400837,-3.695525,75.237003
-6.819170,-3.937050,75.116282
-6.821254,-3.938253,74.855761
-7.241214,-4.180717,74.733993
-7.243233,-4.181882,74.473009
-8.509518,-4.912972,74.628142
-7.666781,-4.426418,74.088740
-8.090025,-4.670778,73.964855
-8.091908,-4.671865,73.702944
-8.516809,-4.917182,73.577989
-8.518625,-4.918231,73.315616
-8.945192,-5.164509,73.189583
-9.373502,-5.411794,73.062998
-9.375184,-5.412765,72.799622
-9.376864,-5.413735,72.536313
-9.806794,-5.661955,72.408102
-9.380215,-5.415670,72.009888
-10.240032,-5.912085,72.015011
-10.241573,-5.912975,71.750757
-10.674908,-6.163161,71.620336
-10.676380,-6.164011,71.355610
-10.677850,-6.164859,71.090948
-10.679316,-6.165706,70.826352
-11.114234,-6.416806,70.693733
-11.115631,-6.417613,70.428661
-11.552275,-6.669709,70.294915
-11.553602,-6.670475,70.029364
-12.430991,-7.177036,70.025649
-11.556250,-6.672004,69.498463
-12.433370,-7.178409,69.492427
-11.995747,-6.925748,69.096592
-12.435740,-7.179778,68.959471
-11.998244,-6.927190,68.564995
-12.878672,-7.435505,68.554814
-12.879782,-7.436146,68.287951
-13.323302,-7.692212,68.148511
-13.324341,-7.692812,67.881162
-13.325377,-7.693410,67.613881
-13.326412,-7.694008,67.346665
-13.771572,-7.951021,67.204946
-13.328475,-7.695198,66.812433
-13.773496,-7.952131,66.669605
-13.774454,-7.952685,66.402035
-14.221264,-8.210651,66.258019
-14.222151,-8.211163,65.989961
-14.223035,-8.211673,65.721966
-14.223918,-8.212183,65.454039
-14.224799,-8.212691,65.186177
-14.225677,-8.213198,64.918380
-15.123478,-8.731544,64.891756
-14.674813,-8.472507,64.502654
-15.124952,-8.732395,64.354000
-15.125686,-8.732819,64.085220
-15.126418,-8.733241,63.816507
-15.127148,-8.733663,63.547858
-15.127876,-8.734083,63.279276
-15.128602,-8.734503,63.010758
-15.129326,-8.734921,62.742306
-15.130049,-8.735338,62.473919
-15.130769,-8.735754,62.205596
-15.131487,-8.736168,61.937338
-16.035600,-9.258158,61.897322
-15.583529,-8.997155,61.514234
-15.584173,-8.997527,61.245548
-16.037326,-9.259155,61.089386
-15.585456,-8.998267,60.708369
-15.586095,-8.998636,60.439876
-15.586731,-8.999003,60.171447
-15.587366,-8.999370,59.903082
-16.040167,-9.260795,59.744120
-15.588629,-9.000099,59.366544
-16.041290,-9.261443,59.206465
-16.495857,-9.523888,59.045670
-16.042406,-9.262087,58.669064
-16.496832,-9.524450,58.507149
-16.043515,-9.262728,58.131919
-16.044066,-9.263046,57.863441
-16.498281,-9.525287,57.699845
-16.045164,-9.263680,57.326677
-16.045710,-9.263995,57.058390
-16.046254,-9.264309,56.790164
-16.500188,-9.526388,56.624329
-16.500661,-9.526661,56.355608
-16.501131,-9.526933,56.086950
-16.501600,-9.527203,55.818354
-16.048948,-9.265865,55.449980
-16.502533,-9.527742,55.281351
-16.050013,-9.266479,54.914342
-16.503458,-9.528276,54.744598
-16.503918,-9.528542,54.476315
-16.504377,-9.528806,54.208094
-16.052121,-9.267696,53.843810
-16.505288,-9.529332,53.671837
-16.505741,-9.529594,53.403801
-16.506192,-9.529854,53.135827
-16.506642,-9.530114,52.867914
-16.507089,-9.530372,52.600062
-16.507535,-9.530630,52.332272
-16.507979,-9.530886,52.064543
-16.508422,-9.531142,51.796874
-16.963011,-9.793599,51.620226
-16.509302,-9.531650,51.261720
-16.963752,-9.794027,51.083957
-16.510174,-9.532153,50.726808
-16.964486,-9.794450,50.547931
-16.511039,-9.532653,50.192137
-17.421008,-10.058024,50.099776
-16.511898,-9.533149,49.657707
-16.965933,-9.795286,49.476604
-16.512749,-9.533640,49.123516
-16.513172,-9.533884,48.856509
-16.513593,-9.534128,48.589563
-16.514013,-9.534370,48.322675
-16.514431,-9.534611,48.055847
-16.514847,-9.534851,47.789078
-16.968401,-9.796711,47.604089
-16.968747,-9.796911,47.336824
-16.516084,-9.535566,46.989125
-16.516493,-9.535802,46.722591
-16.969774,-9.797504,46.535385
-17.424964,-10.060308,46.347347
-16.517709,-9.536504,45.923340
-16.970786,-9.798088,45.734474
-16.518511,-9.536967,45.390797
-16.518909,-9.537197,45.124613
-16.519306,-9.537426,44.858486
-16.519701,-9.537654,44.592417
-16.520094,-9.537881,44.326405
-17.427081,-10.061530,44.208307
-16.973087,-9.799417,43.867717
-17.427593,-10.061826,43.674128
-16.521648,-9.538778,43.262931
-17.428099,-10.062118,43.140180
-16.522415,-9.539221,42.731536
-17.428599,-10.062406,42.606462
-16.523175,-9.539659,42.200367
-16.975305,-9.800697,42.003776
-16.523927,-9.540094,41.669424
-17.429578,-10.062972,41.539710
-16.524672,-9.540524,41.138706
-16.976534,-9.801407,40.939914
-16.976837,-9.801582,40.674089
-16.977139,-9.801756,40.408320
-16.977439,-9.801929,40.142608
-16.977737,-9.802101,39.876950
-16.978033,-9.802272,39.611348
-17.431457,-10.064057,39.408919
-16.527583,-9.542204,39.018059
-16.978911,-9.802779,38.814876
-16.979201,-9.802946,38.549495
-17.432357,-10.064576,38.344863
-16.979774,-9.803277,38.018899
-16.980059,-9.803441,37.753682
-16.529691,-9.543421,37.429884
-16.980622,-9.803767,37.223414
-16.980901,-9.803928,36.958361
-17.433658,-10.065327,36.750430
-16.531060,-9.544212,36.372185
-16.981728,-9.804405,36.163528
-16.982000,-9.804562,35.898691
-16.982270,-9.804718,35.633908
-16.532401,-9.544986,35.315345
-16.982806,-9.805028,35.104502
-16.533061,-9.545367,34.787243
-17.435299,-10.066274,34.627560
-16.533714,-9.545744,34.259354
-16.983856,-9.805634,34.046329
-16.984115,-9.805783,33.781919
-16.984371,-9.805931,33.517561
-16.984626,-9.806078,33.253254
-16.984879,-9.806225,32.989000
-16.535628,-9.546849,32.676941
-16.985380,-9.806514,32.460649
-16.985628,-9.806657,32.196553
-17.437199,-10.067372,31.978762
-16.536868,-9.547565,31.623039
-16.986361,-9.807080,31.404572
-16.537478,-9.547917,31.096395
-16.986841,-9.807357,30.876841
-16.538080,-9.548265,30.569955
-16.987314,-9.807631,30.349316
-16.538675,-9.548608,30.043719
-16.987781,-9.807900,29.821993
-16.539262,-9.548947,29.517684
-16.988240,-9.808165,29.294873
-16.539842,-9.549282,28.991850
-16.988692,-9.808426,28.767956
-16.540415,-9.549613,28.466216
-16.989137,-9.808683,28.241238
-16.540981,-9.549940,27.940780
-16.989575,-9.808936,27.714719
-16.541540,-9.550262,27.415543
