X,Y,Z
-6.746579,-3.895139,84.013225
-6.332808,-3.656249,83.329474
-6.335044,-3.657540,83.067434
-6.337279,-3.658830,82.805460
-6.339510,-3.660118,82.543554
-6.341739,-3.661404,82.281714
-6.343965,-3.662690,82.019941
-5.930243,-3.423827,81.604206
-5.932524,-3.425144,81.343159
-6.350627,-3.666536,81.235017
-5.937078,-3.427773,80.821265
-6.355054,-3.669092,80.712067
-5.941620,-3.430396,80.299633
-6.359470,-3.671642,80.189384
-6.361674,-3.672914,79.928143
-6.781149,-3.915098,79.816883
-6.366071,-3.675453,79.405853
-8.898780,-5.137713,80.046789
-8.049814,-4.647562,79.480184
-9.330565,-5.387004,79.669076
-8.904229,-5.140859,79.253254
-9.763978,-5.637235,79.289848
-9.765658,-5.638205,79.024320
-10.199029,-5.888412,78.909096
-9.769009,-5.640140,78.493469
-10.202245,-5.890269,78.377153
-10.203850,-5.891195,78.111285
-9.774017,-5.643031,77.697704
-10.207050,-5.893043,77.579754
-10.208647,-5.893965,77.314092
-10.643397,-6.144968,77.195078
-10.211832,-5.895804,76.782972
-9.782311,-5.647820,76.372784
-10.215008,-5.897637,76.252122
-10.216591,-5.898552,75.986798
-10.218172,-5.899464,75.721541
-10.219751,-5.900376,75.456354
-10.221326,-5.901285,75.191236
-10.222900,-5.902194,74.926183
-10.224470,-5.903101,74.661195
-10.226038,-5.904006,74.396276
-9.797073,-5.656343,73.992176
-10.229166,-5.905812,73.866638
-10.230726,-5.906713,73.601922
-10.232284,-5.907612,73.337272
-9.803564,-5.660091,72.935862
-10.235391,-5.909406,72.808167
-9.806794,-5.661955,72.408102
-10.238487,-5.911193,72.279331
-10.240032,-5.912085,72.015011
-10.241573,-5.912975,71.750757
-10.243113,-5.913864,71.486568
-10.244649,-5.914751,71.222448
-10.246183,-5.915636,70.958392
-10.679316,-6.165706,70.826352
-10.249243,-5.917403,70.430476
-9.821194,-5.670269,70.036433
-9.822781,-5.671185,69.773241
-9.824364,-5.672099,69.510113
-10.255330,-5.920917,69.375429
-10.256845,-5.921792,69.111830
-9.829099,-5.674833,68.721117
-10.259868,-5.923537,68.584825
-9.832243,-5.676648,68.195442
-10.262879,-5.925276,68.058080
-9.835375,-5.678456,67.670023
-9.836937,-5.679358,67.407408
-10.267378,-5.927873,67.268441
-9.840053,-5.681157,66.882372
-9.414732,-5.435598,66.498079
-10.271852,-5.930456,66.479380
-9.844707,-5.683844,66.095293
-9.846253,-5.684737,65.833059
-8.996406,-5.194077,65.332408
-9.422770,-5.440239,65.189882
-8.576943,-4.951900,64.693312
-9.001388,-5.196954,64.549823
-7.740549,-4.469008,63.942132
-7.325255,-4.229238,63.569101
-7.327142,-4.230327,63.310816
-7.746036,-4.472176,63.165540
-6.915758,-3.992815,62.682520
-6.917696,-3.993934,62.424990
-6.506383,-3.756462,62.057222
-6.508371,-3.757610,61.800382
-7.338405,-4.236830,61.762363
-6.925412,-3.998388,61.395463
-7.758735,-4.479508,61.355603
-6.929252,-4.000605,60.881053
-8.600740,-4.965639,61.055895
-7.764133,-4.482624,60.580812
-8.604094,-4.967576,60.537232
-8.605766,-4.968541,60.277990
-8.187560,-4.727090,59.912461
-8.609103,-4.970468,59.759684
-8.610767,-4.971429,59.500622
-8.612428,-4.972388,59.241619
-8.614086,-4.973345,58.982674
-8.615742,-4.974301,58.723787
-8.617395,-4.975255,58.464962
-8.619045,-4.976208,58.206193
-8.620692,-4.977159,57.947485
-8.622336,-4.978108,57.688834
-8.204691,-4.736980,57.329668
-8.206387,-4.737960,57.071710
-8.627252,-4.980946,56.913233
-8.628885,-4.981889,56.654816
-8.630515,-4.982830,56.396457
-8.213147,-4.741863,56.040457
-8.633767,-4.984708,55.879912
-8.635388,-4.985644,55.621727
-8.637007,-4.986578,55.363599
-8.219861,-4.745739,55.010124
-8.640237,-4.988443,54.847515
-8.641847,-4.989372,54.589558
-8.643454,-4.990301,54.331660
-8.645059,-4.991227,54.073818
-8.646661,-4.992152,53.816033
-8.229845,-4.751503,53.466333
-7.814947,-4.511962,53.118207
-8.233151,-4.753412,52.952188
-8.234799,-4.754363,52.695200
-8.654629,-4.996753,52.527956
-8.656214,-4.997668,52.270510
-8.239727,-4.757209,51.924571
-8.241364,-4.758154,51.667806
-8.660953,-5.000403,51.498508
-8.662527,-5.001312,51.241285
-8.664098,-5.002219,50.984118
-8.247883,-4.761918,50.641302
-8.667232,-5.004029,50.469951
-8.668795,-5.004931,50.212950
-8.670355,-5.005832,49.956005
-8.671912,-5.006731,49.699115
-8.673467,-5.007628,49.442279
-8.675019,-5.008524,49.185499
-8.676568,-5.009419,48.928773
-8.260787,-4.769367,48.590931
-8.262386,-4.770291,48.334880
-8.681197,-5.012092,48.158923
-8.682735,-5.012979,47.902415
-8.684270,-5.013866,47.645961
-8.268758,-4.773969,47.311215
-8.270344,-4.774886,47.055434
-8.271926,-4.775799,46.799705
-8.690382,-5.017394,46.620686
-8.691903,-5.018273,46.364501
-8.693421,-5.019149,46.108370
-8.278231,-4.779439,45.777326
-8.279800,-4.780345,45.521864
-8.281365,-4.781248,45.266455
-8.699467,-5.022639,45.084378
-8.700971,-5.023508,44.828513
-8.702472,-5.024375,44.572700
-8.703971,-5.025240,44.316941
-8.705467,-5.026104,44.061234
-8.290702,-4.786639,43.735104
-8.708451,-5.027826,43.549977
-8.293792,-4.788423,43.225072
-8.711423,-5.029543,43.038929
-8.296870,-4.790200,42.715247
-8.714384,-5.031252,42.528089
